"fip","H.Clinton"
"17009","160"
"17011","1518"
"17013","446"
"17015","625"
"17017","504"
"17019","10542"
"17021","1395"
"17023","560"
"17025","378"
"17027","906"
"17029","1708"
"17031","617612"
"17033","609"
"17035","364"
"17037","4135"
"17039","561"
"17041","483"
"17043","59103"
"17045","446"
"17047","143"
"17049","867"
"17051","616"
"17053","288"
"17055","2172"
"17057","2150"
"17059","531"
"17061","503"
"17063","2051"
"17065","418"
"17067","607"
"17069","162"
"17071","338"
"17073","2156"
"17075","542"
"17077","2826"
"17079","328"
"17081","1677"
"17083","853"
"17085","1315"
"17087","361"
"17089","24063"
"17091","4898"
"17093","5283"
"17095","2836"
"17097","49750"
"17099","5271"
"17101","417"
"17103","1292"
"17105","757"
"17107","737"
"17115","5945"
"17117","2770"
"17119","15332"
"17121","1609"
"17123","568"
"17125","680"
"17127","539"
"17109","1052"
"17111","13156"
"17113","7695"
"17129","398"
"17131","946"
"17133","1436"
"17135","1241"
"17137","917"
"17139","462"
"17141","1793"
"17143","11341"
"17145","853"
"17147","787"
"17149","495"
"17151","109"
"17153","285"
"17155","450"
"17157","1306"
"17159","448"
"17161","10216"
"17165","1042"
"17167","9255"
"17169","368"
"17171","150"
"17173","782"
"17163","20987"
"17175","197"
"17177","1953"
"17179","5867"
"17181","921"
"17183","3017"
"17185","356"
"17187","726"
"17189","409"
"17191","277"
"17193","565"
"17195","2895"
"17197","41651"
"17199","2978"
"17201","15065"
"17203","1277"
"29001","799"
"29003","498"
"29005","141"
"29007","749"
"29009","874"
"29011","205"
"29013","518"
"29015","669"
"29017","242"
"29019","9628"
"29021","3443"
"29023","889"
"29025","244"
"29027","1378"
"29029","1388"
"29031","2076"
"29033","233"
"29035","138"
"29037","3765"
"29039","332"
"29041","321"
"29043","2146"
"29045","202"
"29047","10630"
"29049","765"
"29051","2798"
"29053","516"
"29055","522"
"29057","201"
"29059","397"
"29061","239"
"29063","221"
"29065","327"
"29067","268"
"29069","724"
"29071","3701"
"29073","401"
"29075","171"
"29077","10910"
"29079","219"
"29081","158"
"29083","780"
"29085","73"
"29087","128"
"29089","413"
"29091","833"
"29093","349"
"29095","48860"
"29097","2289"
"29099","9637"
"29101","1473"
"29103","134"
"29105","737"
"29107","1173"
"29109","872"
"29111","239"
"29113","1561"
"29115","436"
"29117","397"
"29121","421"
"29123","346"
"29125","305"
"29127","925"
"29119","364"
"29129","69"
"29131","432"
"29133","486"
"29135","340"
"29137","252"
"29139","330"
"29141","554"
"29143","691"
"29145","1240"
"29147","616"
"29149","319"
"29151","314"
"29153","217"
"29155","602"
"29157","436"
"29159","1265"
"29161","1137"
"29163","661"
"29165","4645"
"29167","744"
"29169","860"
"29171","102"
"29173","415"
"29175","647"
"29177","942"
"29179","230"
"29181","259"
"29195","910"
"29197","124"
"29199","108"
"29201","1067"
"29203","317"
"29205","240"
"29183","17805"
"29185","340"
"29187","1939"
"29189","89373"
"29510","34458"
"29186","842"
"29207","674"
"29209","806"
"29211","177"
"29213","1199"
"29215","603"
"29217","490"
"29219","986"
"29221","754"
"29223","393"
"29225","940"
"29227","59"
"29229","402"
"37001","7374"
"37003","1148"
"37005","563"
"37007","2307"
"37009","1219"
"37011","326"
"37013","2934"
"37015","2065"
"37017","3442"
"37019","7192"
"37021","17604"
"37023","3511"
"37025","8096"
"37027","2156"
"37029","468"
"37031","2946"
"37033","1701"
"37035","5310"
"37037","7406"
"37039","1024"
"37041","974"
"37043","487"
"37045","4880"
"37047","3628"
"37049","5187"
"37051","22744"
"37053","780"
"37055","2003"
"37057","4489"
"37059","1377"
"37061","3036"
"37063","35845"
"37065","6411"
"37067","24446"
"37069","4951"
"37071","7697"
"37073","749"
"37075","321"
"37077","4693"
"37079","1643"
"37081","37880"
"37083","6224"
"37085","4655"
"37087","3748"
"37089","4811"
"37091","2926"
"37093","3528"
"37095","459"
"37097","5888"
"37099","2022"
"37101","7992"
"37103","910"
"37105","3224"
"37107","4731"
"37109","2812"
"37113","1548"
"37115","1201"
"37117","2469"
"37111","1353"
"37119","71265"
"37121","314"
"37123","1366"
"37125","4679"
"37127","8554"
"37129","12240"
"37131","3195"
"37133","4560"
"37135","17546"
"37137","922"
"37139","2471"
"37141","2880"
"37143","711"
"37145","2954"
"37147","11856"
"37149","1099"
"37151","2969"
"37153","2941"
"37155","8457"
"37157","4464"
"37159","5031"
"37161","2382"
"37163","3790"
"37165","2671"
"37167","2153"
"37169","1433"
"37171","2380"
"37173","666"
"37175","1794"
"37177","266"
"37179","7630"
"37181","4561"
"37183","77927"
"37185","2827"
"37187","1374"
"37189","2514"
"37191","7546"
"37193","2107"
"37195","6408"
"37197","832"
"37199","1134"
"39001","877"
"39003","3670"
"39005","1451"
"39007","5320"
"39009","3533"
"39011","1031"
"39013","3982"
"39015","1562"
"39017","12874"
"39019","1084"
"39021","1226"
"39023","7107"
"39025","5642"
"39027","909"
"39029","4106"
"39031","1358"
"39033","1344"
"39035","125914"
"39037","1246"
"39039","1507"
"39041","9552"
"39043","5449"
"39045","6408"
"39047","760"
"39049","84654"
"39051","1480"
"39053","945"
"39055","4171"
"39057","6672"
"39059","1440"
"39061","57687"
"39063","2062"
"39065","771"
"39067","818"
"39069","977"
"39071","1119"
"39073","1204"
"39075","561"
"39077","2036"
"39079","1010"
"39081","4328"
"39083","1902"
"39085","12506"
"39087","2654"
"39089","6785"
"39091","1012"
"39093","21144"
"39095","32137"
"39097","1225"
"39099","21000"
"39101","2585"
"39103","7913"
"39105","800"
"39107","1037"
"39109","3155"
"39111","1191"
"39113","33352"
"39115","566"
"39117","1164"
"39119","3066"
"39121","522"
"39123","2566"
"39125","723"
"39127","1465"
"39129","2097"
"39131","1336"
"39133","8665"
"39135","1176"
"39137","811"
"39139","5225"
"39141","3582"
"39143","2866"
"39145","3499"
"39147","2081"
"39149","1284"
"39151","21515"
"39153","38874"
"39155","17903"
"39157","4479"
"39159","1580"
"39161","710"
"39163","515"
"39165","6970"
"39167","2557"
"39169","3448"
"39171","1007"
"39173","6108"
"39175","661"
"4001","4450"
"4003","4654"
"4005","5738"
"4007","2196"
